id;nombre_cliente;apellidocliente;bloque_cliente;phone;correo_cliente
1;Card;transform;generating enterprise Sur;942 133 673;fritas
2;Mejorado Avanzado Región;País matrix;redundant política out-of;937292172;driver
3;Ringgit payment Rojo;Blanco Central indexing;navigate tangible;901159021;Artesanal Plaza infraestr
4;Verde Extremadura seamles;Haiti;Queso withdrawal auxiliar;974926176;haptic Sopa Metal
5;cultivate sticky;Bedfordshire Account;CSS soporte;986-426-657;Mesa Ensalada Loan
6;Ingeniero Seguridada Made;Arquitecto vertical;Bicicleta bypassing;930-448-059;Micronesia firewall
7;schemas Dollar;Técnico;withdrawal Cambridgeshire;977-949-956;Refinado Adelante PCI
8;neutral;Configurable Ngultrum;Public-key;919.593.985;Heredado
9;port Berkshire;Gorro Mejorado Inteligent;Manzana Bebes;981.709.473;Muelle
10;Borders;Videojuegos;Dollar Vía;992-013-320;Guantes action-items user
