id;nombre_empleado;apellido_empleado;cargo_empleado;phone
1;overriding Account b;Artesanal;overriding;900-786-575
2;Director Verde;Edificio bypass Pre-;Pantalones Violeta n;954-588-380
3;Sorprendente Product;recontextualize;Francia Datos;981 821 238
4;array Videojuegos;Refinado;la enhance;928.375.392
5;Descentralizado Rato;Directo;Avon Morado;907-799-160
6;Región hack;customized software ;redundant Gorro gene;905.018.989
7;Parque;platforms Integrado;Guantes;918-665-504
8;Cantabria Aragón;payment;Palladium withdrawal;942-934-804
9;Subida;Cambridgeshire;Portugal;976633010
10;Bulgaria funcionalid;acompasada Vasco;Joyería;935 342 809
